GeneratorSpeed,Power,PredictedPower
1530.57,729.52124,733.538333803475
1353.3347,481.68692,502.17655988494437
1088.7201,223.96355,205.57826344346762
1678.7747,998.63184,1029.1797809372229
1189.9019,309.19873,323.894569259438
1251.0618,362.46664,388.2494945832153
1070.2079,205.61156,183.7246608769488
1604.095,879.69403,856.066701617488
1219.5568,338.264,355.47503909104825
1690.1516,1225.0325,1059.5257263108017
1320.2524,434.06424,463.12529484812455
979.25574,111.392235,104.16900478832429
1001.8229,146.72229,117.29976146963202
970.5554,106.00135,100.69664927296151
1691.5543,998.1805,1063.3133052804214
967.44434,73.88908,99.6856732428023
1269.6836,411.20682,407.73358470266936
1054.4281,182.32555,165.912529019766
1489.6296,663.7392,677.2669689584328
1170.5726,289.3374,302.5328981011139
1719.7574,1124.3041,1140.6486808719
1707.3287,1017.67365,1106.3941290734078
962.49365,105.224556,98.33468497655235
1412.3561,547.168,576.4774750951904
1041.107,187.37965,151.76850269518127
1295.7284,418.9953,435.68009626399123
1715.9625,1131.6631,1130.1867033114943
1572.0813,848.8786,797.8584840801893
1133.7797,253.58157,259.8823257071041
1660.0054,925.70526,980.9763792138467
1322.4753,441.15436,465.6756868027155
1369.6332,485.78873,522.2154084454758
1077.4983,210.32108,192.23767775166635
978.8367,112.09323,103.98043925074762
1079.197,211.70026,194.2408864819496
1699.4718,1022.92303,1084.8415704525905
1564.4535,833.3682,785.2267064602252
1702.0934,1002.7582,1092.0163910970007
1078.1498,215.92638,193.00517284405572
1112.8013,241.34332,234.66248051055373
1086.2052,218.25519,202.5688381021131
1775.8553,1361.5563,1286.9986511444586
1019.9306,155.9839,131.6119426867631
964.2322,57.84586,98.77268647569531
1030.4817,169.07306,141.25002567645583
1321.0269,433.34393,464.01268075002633
1236.2594,343.16232,372.87706361596236
967.75336,77.09725,99.78054692432943
1633.718,964.04395,918.482232053818
1753.9779,1129.506,1232.8859653205786
969.5844,89.76432,100.36784208412234
1147.7456,277.93423,276.3622651541
961.80066,89.53661,98.17118090223607
1524.3135,713.8695,724.6154214625282
1133.7882,259.18747,259.892447390029
1341.7089,464.45593,488.19030952767366
1364.6505,488.6671,516.0398304550461
1496.7499,657.1629,686.7704351060861
1089.2494,218.86243,206.21281870323668
1134.7277,263.33026,261.010567353727
1394.1031,521.23083,553.0618429921713
1284.1602,394.52835,423.13729635260245
1057.4211,189.70268,169.2136572724466
1404.5676,531.56805,566.4552905663833
1665.6667,969.4225,995.2352403124776
1678.311,987.60846,1027.9588455387338
1089.1853,221.97939,206.1359514515824
1634.8495,939.78894,921.0377629092355
962.4466,85.532875,98.3233835675203
1451.106,611.6338,626.7201199134804
969.4896,130.03867,100.33638317208658
1647.5491,1017.8908,950.5670319158774
962.137,72.034065,98.24974551666276
1545.2361,739.7992,755.1309818182064
1180.641,294.7704,313.7488995162321
1702.8923,1024.919,1094.2065072204055
1466.0848,616.2686,646.2619217483092
1191.3445,298.83527,325.4610659520647
980.71387,101.42796,104.8416350454437
1561.598,752.65314,780.6049907628998
1239.4856,346.5205,376.22640614870465
1468.1328,606.8271,648.9414853322832
1752.2389,1413.1991,1228.3690187539287
1746.7454,1204.6339,1213.9378118609477
1751.8329,1357.7136,1227.3107259662374
1075.3995,212.4803,189.7722463692163
1065.5901,193.73303,178.41506131749622
1105.1062,229.15213,225.3459778616239
1773.5297,1409.8271,1281.5237581088088
1490.7714,648.3676,678.78568046522
1514.1631,686.0527,710.436450180618
1466.2866,617.73584,646.5258512899799
1454.3226,609.70557,630.9098017014535
1666.2626,1022.8521,996.7510250864975
982.1795,84.11002,105.54334372383494
1481.0765,628.8712,665.9435241929195
1110.789,234.75424,232.2270457496453
1014.62476,165.37682,127.10819140030333
1398.817,535.9104,559.0834584954339
1370.2961,491.16824,523.040060135088
1372.541,503.92697,525.8378526524746
1655.3337,920.38965,969.4111454176675
1536.9843,725.0492,742.8560829107555
1715.2697,1181.7913,1128.276182533668
1729.2871,1210.0642,1166.8334992006812
1010.1195,148.57915,123.47964691799427
1045.2584,179.50578,156.0721499319941
1384.8798,545.9083,541.3456826972155
1656.1439,930.3545,971.4034122294262
1517.3467,725.6788,714.8477489161211
969.45184,120.16779,100.32388461506685
1152.6279,270.48923,282.04436183066605
1074.2333,211.62607,188.40720727303597
