PitchAngle,Power,PredictedPower
1.3966424,1797.2268,1755.12212793562
0.06473583,1479.7686,1604.2647338454897
1.669565,1626.5298,1793.9920841688327
1.374763,1865.8531,1751.9529718525148
1.0939311,1894.8956,1711.507807382864
4.7974625,1870.065,1997.782400022851
1.3203354,1696.9424,1744.0616957157238
2.2004354,1697.8948,1861.0323874694634
1.9551576,1825.1249,1831.9130635622419
0.0,1417.0731,1601.4179601506496
4.5056343,2000.5582,1990.0167932848149
2.2371006,1906.1654,1865.0700197024275
2.4293113,1835.7299,1884.8288331200383
0.793235,1624.2383,1670.9122656863703
0.2598923,1509.526,1616.2054718871027
2.4808962,1883.6268,1889.7267421264348
2.5068562,2014.4434,1892.1271246225738
0.5024755,1768.6178,1637.5397394896384
7.7906237,2023.5022,2031.7722949433614
6.576472,2018.4438,2034.2984862416931
0.0,1350.6077,1601.4179601506496
0.05399971,1598.1304,1603.7533747515822
6.29497,2023.2963,2030.2787823512128
7.866672,2062.695,2030.1507012314323
0.524468,1923.0,1639.7936568443747
0.44247374,1677.4358,1631.6467342492856
6.1019683,2030.3187,2026.9598932012802
3.2313213,1977.1062,1943.365638528809
2.6854246,1912.6964,1907.4902377935282
1.7908392,1934.4752,1810.5456567222566
0.6776699,1563.6609,1656.7813547713386
3.4850821,1826.56,1955.5677973574564
0.09149493,1508.0065,1605.6066278112173
1.6056858,1797.8816,1785.0571477249864
0.600791,1599.573,1647.9859989454608
8.658563,2047.5533,2002.556371185319
4.5433908,2010.5403,1991.051894666243
1.2887727,1781.9812,1739.4862964994966
0.5024937,1887.3909,1637.5415842992138
0.9807774,1573.4583,1695.7213297320293
4.246619,1988.5419,1982.6148353423182
3.324585,1982.1422,1948.1159878934839
0.0,1625.5647,1601.4179601506496
1.8955264,1786.5723,1824.3156381961435
0.7798513,1729.4634,1669.2247819339211
0.6698588,1640.566,1655.8643286287047
3.6943743,1948.8209,1964.1417363095627
7.5622883,2054.307,2035.487579760776
0.7401254,1429.4409,1664.2918532411381
0.7458445,1487.1111,1664.9948277317515
6.451151,2029.7595,2032.6464097666683
0.2763114,1801.7596,1617.43184054941
0.6397702,1608.5193,1652.380500220877
3.8311198,2031.0048,1969.1847306789039
4.606301,2008.351,1992.7552246390087
0.15449631,1710.0684,1609.1416777223053
6.310957,2000.8973,2030.5353127880028
4.110685,2032.4656,1978.4739520637843
0.44145256,1775.3275,1631.5497726584308
0.16349831,1589.7981,1609.6893522661956
0.34246436,1672.1453,1622.7049995502439
0.5324126,1629.1586,1640.619891705018
2.1699934,1989.163,1857.6158131457048
7.6354437,2017.1622,2034.4841941981756
6.220875,2045.391,2029.0513557987751
1.0959797,1571.1176,1711.797726191769
1.3619392,1734.3099,1750.0943117077848
0.55847174,1746.0034,1643.373966040649
6.7624683,2042.9532,2036.2669151355478
0.9767309,1710.4109,1695.1662870361135
5.7451653,2034.7625,2019.9564524808786
